gene_ID,gene_name,difference,tstat,logpval,significant
C19orf53,C19orf53,1.2903297253016266,1.2903297253016266,0.19693620033883,NA
C19orf54,C19orf54,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C19orf55,C19orf55,-0.2225041225375275,-0.2225041225375275,1.1760785356176118,NA
C19orf57,C19orf57,-0.4679221241669196,-0.4679221241669196,1.3601597186254237,NA
C19orf60,C19orf60,0.702983570274565,0.702983570274565,0.48206598845667853,NA
C19orf66,C19orf66,0.7469665670059831,0.7469665670059831,0.4550837422046858,NA
C19orf68,C19orf68,-0.26315360296038337,-0.26315360296038337,1.2075678097934233,NA
C19orf70,C19orf70,1.2244361407945128,1.2244361407945128,0.22078774262264378,NA
C19orf71,C19orf71,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C19orf73,C19orf73,-0.695151425161244,-0.695151425161244,1.5130395900264628,NA
C19orf80,C19orf80,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C19orf81,C19orf81,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C19orf82,C19orf82,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C19orf84,C19orf84,-1.738542029741222,-1.738542029741222,1.9178846490094719,NA
C1D,C1D,0.24383215406512468,0.24383215406512468,0.8073608164308472,NA
C1GALT1,C1GALT1,-0.02812452108874346,-0.02812452108874346,1.0224371631939893,NA
C1GALT1C1,C1GALT1C1,0.7469989312419887,0.7469989312419887,0.45506420596825237,NA
C1QA,C1QA,1.676499789318758,1.676499789318758,0.09364033744781586,NA
C1QB,C1QB,1.4763917180970076,1.4763917180970076,0.13983876472207082,NA
